SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,2.095485,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,54.373516,True
SM_Cup,SM_Blue_Cup,1.955949,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,57.951614,True
SM_Cup,SM_Blue_Cup,2.103864,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,59.003849,True
SM_Cup,SM_Blue_Cup,1.807842,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,58.128044,True
SM_Cup,SM_Blue_Cup,2.152292,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,58.120228,True
SM_Cup,SM_Blue_Cup,1.838925,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,59.344784,True
SM_Cup,SM_Blue_Cup,1.823743,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,58.000908,True
SM_Cup,SM_Blue_Cup,2.2331,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,59.569988,True
SM_Cup,SM_Blue_Cup,2.158071,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,58.853683,True
SM_Cup,SM_Blue_Cup,2.228476,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,57.634396,True
SM_Cup,SM_Blue_Cup,2.164016,60.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,58.583466,True
SM_Cup,SM_Blue_Cup,2.088429,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,63.332268,True
SM_Cup,SM_Blue_Cup,2.162006,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,64.339233,True
SM_Cup,SM_Blue_Cup,2.245531,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,62.85894,True
SM_Cup,SM_Blue_Cup,2.034525,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,63.821095,True
SM_Cup,SM_Blue_Cup,2.124706,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,60.447464,True
SM_Cup,SM_Blue_Cup,1.678701,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,64.505226,True
SM_Cup,SM_Blue_Cup,2.128645,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,62.406975,True
SM_Cup,SM_Blue_Cup,2.049712,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,62.471657,True
SM_Cup,SM_Blue_Cup,2.029593,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,62.755077,True
SM_Cup,SM_Blue_Cup,2.010002,65.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,61.926853,True
SM_Cup,SM_Blue_Cup,1.880383,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,67.961395,True
